a,b,c,w,y,z
-6.035349852959825,-1.98687615267296,-4.234005665830856,-10.26935551879068,-8.022226005632785,2.247129513157896
-1.5405499068069872,-1.1455041137111392,1.6807810180940694,0.1402311112870822,-2.6860540205181263,-2.826285131805209
-3.692840295336004,2.528914323502234,-2.9859272766900364,-6.67876757202604,-1.1639259718337698,5.514841600192271
-0.4745379512610099,-0.3279617198340785,0.45924590491777006,-0.015292046343239829,-0.8024996710950885,-0.7872076247518486
0.10504190325770812,-0.9217098847616554,-1.9463129912842803,-1.8412710880265721,-0.8166679815039473,1.0246031065226249
-8.172965800203045,-3.8674315219892526,6.880971645407755,-1.2919941547952893,-12.040397322192298,-10.748403167397008
-9.43053416660823,-0.3250137719928081,-2.468818740652376,-11.899352907260605,-9.755547938601037,2.143804968659568
3.644374023917909,1.261752336169725,3.422364474041886,7.066738497959795,4.906126360087634,-2.160612137872161
0.9838682802368387,-4.430045437522388,0.6141115903818617,1.5979798706187003,-3.446177157285549,-5.04415702790425
-6.504522401551576,-1.228495689907158,-7.437810515835283,-13.942332917386858,-7.733018091458733,6.209314825928125
-2.763031170760989,1.2501477797612086,-5.525213945135386,-8.288245115896375,-1.5128833909997805,6.7753617248965945
1.695026480390272,-0.428735941675079,-0.30310108584122786,1.3919253945490442,1.266290538715193,-0.12563485583385114
7.128424166937299,-2.152793508655574,-2.948605753218616,4.179818413718683,4.975630658281725,0.795812244563042
2.489513367291419,0.934311424769205,1.444494771359413,3.934008138650832,3.423824792060624,-0.5101833465902079
-5.703050986707233,-0.042643470351719,0.22807141793276645,-5.474979568774467,-5.745694457058953,-0.2707148882844854
-1.5068004412396192,2.668591817000588,-0.8683017670477267,-2.3751022082873456,1.1617913757609686,3.5368935840483147
-2.4965459830738435,-0.7314034914725914,1.8999962076217294,-0.5965497754521141,-3.2279494745464348,-2.6313996990943207
-7.4236702280234566,-1.0327868107610036,3.7049050105847803,-3.7187652174386763,-8.45645703878446,-4.737691821345784
4.212355859090816,-1.360960973938657,-2.733315516672082,1.4790403424187337,2.8513948851521587,1.3723545427334252
-0.1949837395556163,-0.9396126991963119,-5.882535785663045,-6.077519525218661,-1.134596438751928,4.942923086466733
5.246595725367986,3.5126847335872244,2.2264388541706603,7.473034579538647,8.75928045895521,1.286245879416564
-1.652296602734459,-1.503208721447839,4.14947141120559,2.4971748084711307,-3.1555053241822977,-5.652680132653429
5.753723566779827,0.6491216746686798,0.10489150385817955,5.858615070638007,6.4028452414485075,0.5442301708105002
9.63795519245325,-1.418770010025256,2.3329706109414476,11.970925803394698,8.219185182427994,-3.7517406209667037
-1.4562043811001915,2.6084222180303507,0.01418981508366627,-1.4420145660165251,1.1522178369301592,2.5942324029466843
-5.671983328220858,-1.2608349603613886,5.57380384926257,-0.09817947895828727,-6.932818288582246,-6.834638809623959
1.035752545882485,-2.395541097775158,3.2502668259988616,4.286019371881347,-1.359788551892673,-5.6458079237740195
-0.4498498257169876,-1.9817874565114375,2.283057438686581,1.8332076129695936,-2.431637282228425,-4.264844895198019
2.0667971703609482,-2.642743878574514,1.4434707892594107,3.510267959620359,-0.5759467082135656,-4.086214667833925
1.870035425132516,3.259427915100069,3.4216136067669094,5.291649031899425,5.129463340232585,-0.16218569166684027
7.536685148000618,-1.8092241246704763,2.5760975956102476,10.112782743610866,5.727461023330142,-4.385321720280724
5.288672922564848,-1.0546823790052076,0.14103113542764847,5.429704057992496,4.23399054355964,-1.1957135144328561
-2.402922512376467,1.690636896313017,1.4513649161741389,-0.9515575962023279,-0.7122856160634499,0.23927198013887807
